NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT06964854,[Trial of device that is not approved or cleared by the U.S. FDA],https://clinicaltrials.gov/study/NCT06964854,,WITHHELD,,NO,,,,,,[Redacted],,,,,,,,,ZCI06,,,,2025-05-09,,2025-05-09,,
NCT06964841,PRIMARY TESTICULAR LYMPHOMA,https://clinicaltrials.gov/study/NCT06964841,,COMPLETED,"742 / 5.000 A 57-year-old male: Denies chronic degenerative, allergic, traumatic, transfusional, or surgical complications. He denies a family history of testicular cancer or abnormalities in testicular descent.

The patient presented with an enlarged right testicle that had been present for 1 month. He saw his family doctor, who prescribed antibiotic and analgesic treatment, without improvement, and was referred to our service. Upon examination, the right testicle was palpable, nontender, slightly enlarged, indurated, with nodulations measuring 0.5 cm in diameter, and free spermatozoa.

The left testicle was normal.

He underwent radical orchiectomy, which revealed renal testicular lymphoma.",NO,Testicular Lymphoma,,"Mortality, Describe the mortality in primary testicular lymphoma, 3 months",,,Instituto Mexicano del Seguro Social,,MALE,"CHILD, ADULT, OLDER_ADULT",,1,OTHER_GOV,OBSERVATIONAL,Observational Model: |Time Perspective: p,982121,2025-01-01,2025-03-28,2025-03-29,2025-05-09,,2025-05-09,"Instituto Mexicano del Seguro Social, Mérida, Yucatán, Mexico",
NCT06964828,"Proof of Concept, Randomized, and Crossover Study, to Assess the Effectiveness of Two Types of Compression Garments in Lipedema",https://clinicaltrials.gov/study/NCT06964828,LipeGar,RECRUITING,The goal of this prospective randomized crossover experimental study is to assess the effectiveness and tolerance of circular and flat fabric garments in stabilizing the lower-limb volume in lipedema. It will assess the effectiveness of the garments and if there are differences between both types of garments currently used in routine clinical practice. Participants will be prescribed either circular or flat knitted pantyhose and wear them daily for 6 months. At 6 months they will change the type of garments.,NO,Lipedema,DEVICE: Flat-knitted compression garment,"Percentage of Volume Change (PVC), The Percentage of Volume Change (PVC) at the 6th and 12th month of treatment is calculated using the following mathematical formula:

PVC = \[ (Baseline volume- final volume)/ baseline volume\] x 100

Where:

* Baseline is the reference volume at the beginning of the treatment.
* Final Volume is the volume at the end of the treatment period (either at the 6th or 12th month, as applicable).

This calculation provides the percentage change in the volume of the lower limbs over the course of the treatment period compared to the initial volume.

We define the success of maintenance treatment when the Percentage of Volume Change (PVC) is \<10% at 6 or 12 months of treatment, relative to the study's baseline. We define disease progression when the PVC is \>10% at 6 or 12 months, relative to the study's baseline., at the 6th and 12th month of treatment","Pain intensity, Pain in lower limbs: measured on a visual analog scale (VAS, 1 to 10 points)., at the 6th and 12th month of treatment|Heaviness, Perceived heaviness in lower limbs: measured on a visual analog scale (VAS, 1 to 10 points)., at the 6th and 12th month of treatment|Numbness, Numbness in lower limbs: (VAS, 1 to 10 points)., at the 6th and 12th month of treatment|Characteristics of pain, Intensity (VAS scale), location, and type of sensation, at the 6th and 12th month of treatment|Compliance, Number of hours per day and days per week, wearing the compression garments, at the 6th and 12th months of treatment|Reported Quality of Life, LYMQOL questionnaire, at the 6th and 12th months of treatment|Pressure pain threshold, Pressure pain threshold (PPT) will be assessed at the tight using an algometer, at baseline, 6th and 12 th months.",,"Isabel Forner-Cordero, MD, PhD",Hospital Provincial de Castellon|Hospital Arnau de Vilanova,FEMALE,"ADULT, OLDER_ADULT",NA,34,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,LipeGar,2024-05-08,2026-07,2026-07,2025-05-09,,2025-05-09,"Hospital Universitari i Politecnic La Fe, Valencia, 46026, Spain",
NCT06964815,"Silibinin in Association With Concomitant Chemoradiotherapy and Maintenance Temozolomide in STAT3 Positive IDH Wild-type, Newly Diagnosed Glioblastoma Patients",https://clinicaltrials.gov/study/NCT06964815,STRONG,NOT_YET_RECRUITING,"Multicenter, double-blind, placebo-controlled, randomized trial.

Patients affected by STAT3 positive newly diagnosed glioblastoma will be eligible. Patients are randomized using a stratified block randomization method with a 1:1 ratio in two arms:

• Experimental/Control arm: Concomitant radiotherapy (60 gy in 30 fractions) + temozolomide 75mg/mq + silibinin/placebo 2 sachets/day dissolved in water throughout concomitant treatment followed by temozolomide cp, 150 mg/m2-200mg/m2, g1-5 q28d + silibinin/placebo 2 sachets/day dissolved in water, day 1-28, q28d for 6-12 cycles. Silibinin/Placebo may be continued until disease progression at the discretion of the physician.

Patients will be stratified based on:

* Type of surgery (complete Vs partial)
* MGMT methylation status (methylated Vs non-methylated)
* ECOG PS (0-1 Vs 2)",NO,Glioblastoma|IDH Wild-type and STAT3-positive Glioblastoma,DIETARY_SUPPLEMENT: Silibinin as STAT3 inhibitor|OTHER: Placebo,"Primary Objective and endpoint, Evaluation of Progression Free Survival (PFS) in patients with newly diagnosed IDH wild-type and STAT3-positive glioblastoma using silibinin 2 sachets per day (1g/day), during chemoradiotherapy and maintenance treatment with temozolomide, compared with placebo. The progression free survival (PFS) will be determined as the time from the date of randomization to the date of disease progression determined using RANO 2.0 criteria or to the date of death, whichever occurs first. Patients without a PFS event at the time of analysis will be censored at the date of last assessment., Through study completion, an average of 2 years","Secondary Objective and endpoint, Evaluation of liver toxicity. Assessment of liver toxicity will be derived from the assay of alanine aminotransferase (ALT) weekly during concomitant radio-chemotherapy treatment and monthly during maintenance temozolomide treatment, using the CTCAE v5.0 system to determine the degree of toxicity, Through study completion, an average of 2 years|Secondary Objective and endpoint, Evaluation of liver toxicity. Assessment of liver toxicity will be derived from the assay of total and direct blood bilirubin weekly during concomitant radio-chemotherapy treatment and monthly during maintenance temozolomide treatment, using the CTCAE v5.0 system to determine the degree of toxicity, Through study completion, an average of 2 years|Secondary Objective and endpoint, Evaluation of liver toxicity. Assessment of liver toxicity will be derived from the assay of aspartate aminotransferase (AST) weekly during concomitant radio-chemotherapy treatment and monthly during maintenance temozolomide treatment, using the CTCAE v5.0 system to determine the degree of toxicity, Through study completion, an average of 2 years|Secondary Objective and endpoint, Evaluation of 6/9-months Progression Free Survival (6/9m-PFS). The progression free survival at 6/9 months (6/9m-PFS) will be determined as the percentage of patient with progression of disease at 6 and 9 months, Through study completion, an average of 2 years|Secondary Objective and endpoint, Evaluation of Objective Response Rate (ORR). The objective response rate (ORR) will be defined as the percentage of patients with complete response (CR) and partial response (PR) determined using modified RANO criteria, Through study completion, an average of 2 years|Secondary Objective and endpoint, Evaluation of Quality of Life assessed by EORTC QLQ-C30. EORTC QLQ-C30 has robust psychometric properties resulting from their use in several international cancer clinical trials. The EORTC QLQ-C30 (Aaronson et al, 1988) is a core measure designed to be supplemented with the disease specific module., Through study completion, an average of 2 years|Secondary Objective and endpoint, Evaluation of Quality of Life assessed by QLQ-BN20. QLQBN20 has robust psychometric properties resulting from their use in several international cancer clinical trials., Through study completion, an average of 2 years",,Istituto Oncologico Veneto IRCCS,,ALL,"ADULT, OLDER_ADULT",NA,110,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,IOV-GB-01-2024-STRONG,2025-06,2027-10,2027-10,2025-05-09,,2025-05-09,"Istituto Oncologico Veneto, Padova, Italy/Padova, 35128, Italy",
NCT06964802,The Effect of Cold Salt Water Foot Bath on The Development Of Chemotherapy-Induced Peripheral Neuropathy,https://clinicaltrials.gov/study/NCT06964802,,NOT_YET_RECRUITING,"This prospective, randomised, controlled study was designed to evaluate the effectiveness of salt and unsalted cold water foot baths in preventing chemotherapy-induced peripheral neuropathy (CIPN) in patients receiving paclitaxel. The study's sub-objectives were to minimise the development of CIPN, reduce its severity and incidence of symptoms, and minimise its impact on daily life and activities.

Hypothesis(es):

H1: Salt cold water foot bath affects the development of chemotherapy-induced peripheral neuropathy.

H2: There is an effect of unsalted cold water foot bath on the development of chemotherapy-induced peripheral neuropathy.

H3: The effects of salt and unsalted cold water foot baths on the development of chemotherapy-induced peripheral neuropathy.

H4: Salt and unsalted cold water foot baths are more effective than standard clinical care in the development of chemotherapy-induced peripheral neuropathy.

Researchers will compare the salt cold water with the unsalted cold water, unsalted cold water and control group to determine whether the salt cold water has an effect on CIPN.

The experimental group and active comparator participants will continue the application for 12 cures (12 weeks) of paclitaxel. The application will be applied by researcher Tuba Eryiğit. In addition, before each application for 12 weeks, the severity of CIPN, its effect on daily life and grade will be evaluated.

The control group will continue clinical routine care applications for 12 cures (12 weeks). In addition, the severity of CIPN, its effect on daily life and grade will be evaluated before each treatment in the same way as the experimental groups.",NO,Breast Cancer Patients|Chemotherapy Induced Peripheral Neuropathy (CIPN)|Paclitaxel-induced Peripheral Neuropathy,OTHER: Cold salt water foot bath|OTHER: Cold water foot bath,"To prevent the development of chemotherapy-associated peripheral neuropathy in patients, Answering 'No' to part A of the Chemotherapy-Induced Peripheral Neuropathy Assessment Tool (CIPNAT) scale and not responding to monofilament and vibration test means that there is no chemotherapy-related peripheral neuropathy., This was at the end of the 12th week of paclitaxel treatment.","If you are experiencing chemotherapy-related peripheral neuropathy, the symptoms should be mild, occur less frequently and have a minimal impact on your daily life and activities., A score close to 0 on the Chemotherapy-Induced Peripheral Neuropathy Assessment Tool (CIPNAT) scale, which ranges from 0 to 140, and a grade close to 1 on the Common Terminology Criteria for Adverse Events (CTCAE) Version 5.0 scale, which grades from 1 to 5., This was at the end of the 12th week of paclitaxel treatment.",,Tuba Eryiğit,,FEMALE,"ADULT, OLDER_ADULT",NA,93,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: PREVENTION,IstanbulTopkapiU,2025-06-01,2025-09-01,2026-02-01,2025-05-09,,2025-05-09,"Haydarpaşa Numune Training and Research Hospital, Istanbul, Uskudar, 34668, Turkey",
NCT06964789,The Mechatronic Remote Physiotherapy System (MRPS) in Remote Stroke Rehabilitation,https://clinicaltrials.gov/study/NCT06964789,MRPS,NOT_YET_RECRUITING,"The aim of this pilot trial is to examine and compare the safety and feasibility of enhanced Early Supported Discharge (ESD) through the Mechatronic Remote Physiotherapy System (MRPS) and traditional ESD after stroke.

The main questions this trial aims to answer are:

* Is enhanced ESD via the MRPS safe, feasible and significantly different compared to traditional ESD when administered to patients after stroke?
* Do patients interact with and are they satisfied with the MRPS?
* Is enhanced ESD cost-effective compared to traditional ESD?
* Are there any adverse effects of the MRPS and what are the areas for further improvement?

Participants in the experimental group will receive enhanced ESD through the MRPS.

The intervention will be given for approximately 6-8 weeks in total. Frequency will be determined by how often the participants' use the MRPS themselves. Frequency of use and level of completion of each session will be monitored. Enhanced ESD therapy sessions will be designed to reflect traditional ESD sessions.

Participants in the control group will receive traditional ESD. The intervention will be given for approximately 6-8 weeks in total with a frequency of 1-3 therapy visits per week (as per traditional ESD). Therapy sessions will be designed by therapists delivering the ESD service.",NO,Stroke|Neurological Disorder,DEVICE: Mechatronic Remote Physiotherapy System (MRPS)|OTHER: Early Supported Discharge,"Protocol Adherence/Compliance Rate., Percentage of scheduled procedures, visits, or assessments completed as planned. 95% adherence/compliance rate suggest strong adherence/compliance rate., through study completion, an average of 1 year","Berg Balance Scale (BBS)., Outcome measure to assess static and dynamic balance with high validity and reliability within the stroke population. The Berg Balance Scale (BBS) is a clinical tool used to assess a person's balance through a series of 14 functional tasks, each scored on a scale from 0 to 4, with a maximum total score of 56. An increase in total BBS score from baseline indicates improved balance. A change of 6-7 points is often considered the minimal detectable change (MDC) in older adults or people with balance issues (i.e., change likely reflects a real improvement, not measurement error)., through study completion, an average of 1 year|Fugl Meyer Assessment (FMA)., Stroke-specific, performance-based impairment index outcome measure. The Fugl-Meyer Assessment (FMA) is a widely used, validated tool to evaluate motor function, balance, sensation, and joint performance in individuals after a stroke. It is particularly focused on motor recovery and is considered one of the most comprehensive quantitative measures of physical impairment post-stroke. The full Fugl-Meyer Assessment includes 5 domains, with a total possible score of 226 points. Higher scores indicate better motor recovery/function. Change in score over time reflects improvement or decline.

In stroke rehabilitation:10-point increase in motor score is typically considered clinically meaningful. Smaller changes (e.g., 5-7 points) may still be relevant depending on the baseline and context., through study completion, an average of 1 year",,"Institute of Technology, Sligo",Sligo General Hospital,ALL,"ADULT, OLDER_ADULT",NA,14,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,ATU Sligo,2026-04-01,2026-09-01,2027-12-01,2025-05-09,,2025-05-09,,
NCT06964776,A Study of LY4268989 (MORF-057) in Healthy Participants,https://clinicaltrials.gov/study/NCT06964776,,NOT_YET_RECRUITING,"The purpose of this study is to measure the body's absorption and processing of the study drug, the study drug's effect on the body, safety, and tolerability with LY4268989 (MORF-57) in healthy participants, including Japanese and Chinese participants",NO,Healthy,DRUG: LY4268989|DRUG: Placebo|DRUG: Midazolam|DRUG: Midazolam,"Pharmacokinetics (PK): Maximum Concentration (Cmax) of LY4268989 (Cohort 1) and (Cohort 5), Day 1 to Day 17|PK: Area Under the Concentration Curve (AUC) of LY4268989 (Cohort 1) and (Cohort 5), Day 1 to Day 17|Number of Participants with Treatment Emergent Adverse Events (TEAEs) and Serious Adverse Events (SAEs) (Cohort 1), (Cohort 3), and (Cohort 5), A summary of TEAEs, SAEs and other non-serious adverse events (AEs), regardless of causality, will be reported in the reported adverse events module, Baseline to Study Completion (Up to Day 17)|Number of Participants with TEAEs and SAEs (Cohort 4), A summary of TEAEs, SAEs and other non-serious adverse events (AEs), regardless of causality, will be reported in the reported adverse events module, Baseline to Study Completion (Up to Period 4, Day 4)|PK: Cmax of LY4268989 (Cohort 2), Day 1 to Day 13|PK: AUC of LY4268989 (Cohort 2), Day 1 to Day 13|PK: AUC of Midazolam and 1'-Hydroxymidazolam (Cohort 3), PK of midazolam and 1'-hydroxymidazolam (AUC), where midazolam is administered alone and in the presence of LY4268989, Day 1 to Day 17]|PK: Cmax of Midazolam and 1'-Hydroxymidazolam (Cohort 3), PK of midazolam and 1'-hydroxymidazolam (Cmax), when midazolam is administered alone and in the presence of LY4268989, Day 1 to Day 17","PK: Cmax of LY4268989 (Cohort 4), Day 1 to Day 4|PK: AUC of LY4268989 (Cohort 4), Day 1 to Day 4",,Eli Lilly and Company,,ALL,"ADULT, OLDER_ADULT",PHASE1,66,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: BASIC_SCIENCE",27387|J6E-MC-KWAC|MORF-057,2025-05,2025-07,2025-07,2025-05-09,,2025-05-09,"CenExel ACT, Anaheim, California, 92801, United States",
NCT06964763,A Trial in Mini-invasive Pilonidal Sinus Disease Surgery,https://clinicaltrials.gov/study/NCT06964763,,ENROLLING_BY_INVITATION,"Pilonidal sinus disease is a chronic acquired disease leading to significant morbidity and healthcare costs in young man and women. Despite different treatment methods, the disease relatively often leads to postoperative complications and recurrence.(8). Advantages of mini-invasive techniques include: quicker recovery and earlier return to work and high patient satisfaction. Randomized studies are rare and this applies especially to newer mini-invasive techniques. The purpose of the investigators prospective study is to randomly compare the mini-invasive laser ablation technique to the mini-invasive fibrin glue treatment in pilonidal sinus disease surgery.",NO,Pilonidal Disease,PROCEDURE: surgery + laser|PROCEDURE: surgery + fibrine glue,"Healing rate, Healing rate will be assessed by a questionnaire and a phone call, 2 months after surgery|Quality of life, Quality of life will be assessed by a questionnaire, the RAND 36-Item Health Survey, 2 months after surgery","Recurrence rate, Follow-up at 1, 3 and 5 years by assessing electronic medical records to reveal recurrences, 1, 3 and 5 years after surgery|Cost analysis, Compare the price for the two surgical treatments, At 2 months after surgery|Postoperative complications, Postoperative complications will be assessed by a phone call and clinical examination, 2 - 3 months after the surgery|Sick leave, Length of sick leave will be assessed by a questionnaire and medical records, 2 months and 1 year after surgery|Recovery time, The time it has taken fot the patient to return to everyday life is assessed by a questionnaire and through medical records, 2 months and 1 year after surgery",,Helsinki University Central Hospital,,ALL,"ADULT, OLDER_ADULT",NA,188,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,HUS/2951/2021,2023-09-01,2029-06-17,2029-12-17,2025-05-09,,2025-05-09,"HUS Vatsakeskus Abdominal Center of Helsinki University Hospital, Helsinki, Finland",
NCT06964750,the Effect of Web-based Exercises on Postural Deformities,https://clinicaltrials.gov/study/NCT06964750,,NOT_YET_RECRUITING,this study aims to investigate the effect of telerehabilitation with web-based exercises on postural deformities in individuals with postural problems. This randomized controlled study is planned to include 40 individuals. The individuals will be university students between the ages of 18-25. The students will be divided into two groups: home exercise program and telerehabilitation group. Exercises will be applied to both groups 3 times a week for 6 weeks.,NO,Telerehabilitation|Posture|Lordosis|Kyphosis|Home Based Rehabilitation,BEHAVIORAL: Exercise|BEHAVIORAL: home based exercise,"craniovertebral, lordosis, and kyphosis angles, craniovertebral angle (CVA), lordosis, and kyphosis angles will measure with a smartphone application before and after 6 weeks., After 6 weeks from the initial assessment","shortness, Participants will evaluated with muscle shortness test on pectoral and hamstring muscles, After 6 weeks from the initial assessment|Endurance, Participants will evaluated with trunk endurance tests., After 6 weeks from the initial assessment",,Hacettepe University,Saglik Bilimleri Universitesi Gulhane Tip Fakultesi,ALL,ADULT,NA,40,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,Telerehabilitation on posture|Academician,2025-05-01,2025-08-01,2025-10-01,2025-05-09,,2025-05-09,"University of Health Science, Ankara, Kecioren, 06610, Turkey",
NCT06964737,Anti-GARP Chimeric Antigen Receptor T Cell Therapy for the Treatment of Recurrent Grade III or IV Gliomas,https://clinicaltrials.gov/study/NCT06964737,,NOT_YET_RECRUITING,"This phase I trial tests the safety, side effects, and best dose of anti-glycoprotein-A repetitions predominant (GARP) chimeric antigen receptor (CAR) T cell therapy and how well it works in treating patients with grade III or IV gliomas that have come back after a period of improvement (recurrent). CAR T-cell therapy is a type of treatment in which a patient's T cells (a type of immune system cell) are changed in the laboratory so they will attack tumor cells. T cells are taken from a patient's blood. Then the gene for a special receptor that binds to a certain protein, such as GARP, on the patient's tumor cells is added to the T cells in the laboratory. The special receptor is called a CAR. Large numbers of the CAR T cells are grown in the laboratory and given to the patient by infusion for treatment of certain tumors. Giving anti-GARP CAR T cell therapy may be safe, tolerable, and/or effective in treating patients with recurrent grade III or IV gliomas.",NO,Recurrent Malignant Glioma|Recurrent WHO Grade 3 Glioma|Recurrent WHO Grade 4 Glioma|WHO Grade 2 Glioma|WHO Grade 3 Glioma|WHO Grade 4 Glioma,BIOLOGICAL: Anti-GARP Chimeric Antigen Receptor-T Cells|PROCEDURE: Biospecimen Collection|PROCEDURE: Chest Radiography|PROCEDURE: Echocardiography Test|PROCEDURE: Magnetic Resonance Imaging|PROCEDURE: Multigated Acquisition Scan|PROCEDURE: Pheresis|PROCEDURE: Surgical Procedure,"Dose limiting toxicities, The rate, frequency and severity will be defined using Common Terminology Criteria for Adverse Events (CTCAE) version (v) 5. Will be summarized by descriptive statistics. The maximum grade for each type of toxicity will be recorded for each patient, and frequency tables will be reviewed to determine toxicity patterns., Up to 30 days after the first dose","Incidence of adverse events, The rate, frequency and severity will be defined using CTCAE v 5. Will be summarized by descriptive statistics. The maximum grade for each type of toxicity will be recorded for each patient, and frequency tables will be reviewed to determine toxicity patterns., Up to 30 days after last dose of study drug|Cytokine levels and immunophenotype in cerebrospinal fluid (CSF), During and following therapy, assessed up to 15 years|Duration of anti-glycoprotein-A repetitions predominant (GARP) chimeric antigen receptor (CAR) T cell persistence and phenotype in CSF, Up to 15 years|Objective response rate (ORR), ORR will be calculated and exact binomial 95% confidence interval (CI) will be provided., Up to 15 years|Progression-free survival (PFS), Kaplan-Meier methods will be used to estimate PFS with 95% CI., From initiation of therapy to the time of progression or death, assessed up to 15 years|Overall survival (OS), Kaplan-Meier methods will be used to estimate OS with 95% CI., From initiation of therapy to death, assessed up to 15 years|Correlation of GARP expression levels with outcomes, Relative GARP expression in tumor tissue will be summarized using descriptive statistics., At pre- and post-treatment, assessed up to 24 months|Frequency and phenotype of anti-GARP CAR T cells in tumor tissue, The level and phenotype of anti-GARP CAR T in tumor tissue will be summarized using descriptive statistics., At progression, assessed up to 15 years",,Ohio State University Comprehensive Cancer Center,,ALL,"ADULT, OLDER_ADULT",PHASE1,30,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,OSU-24179|NCI-2025-03042,2025-07-01,2026-12-31,2026-12-31,2025-05-09,,2025-05-09,"Ohio State University Comprehensive Cancer Center, Columbus, Ohio, 43210, United States",
